desc_id,report_id,total_seen,phys_desc,squirrel_action
1,1,1,"gray and small","Roaming around"
2,2,2,"brown","Climbing tree",
3,3,1,"Black, 4 feet tall","Searching in trash can"
4,4,2,"Small, both brown ","Roaming around"
5,5,4,"Brown","Searching in trash can"
6,6,3,"Small grey","Searching in trash can"
7,7,2,"Black and big","Roaming around"
8,8,5,"Grey and big","Climbing tree"
9,9,1,"brown average sized","Climbing tree"
10,10,4,"Gray large","Searching in trash can"
11,11,1,"brown medium ","Roaming around"
12,12,1, "2 years ago but it stole my friendâ€™s chipotle" ,"Roaming around"
13,13,2,"greyish brown","Roaming around"
14,14,4,"Brown regular squirrel size","Roaming around"
15,15,1,"Small brown ","Roaming around"
16,16,4,"Brown","Roaming around"
17,17,10,"Medium size brown ","Roaming around"
18,18,3,"Brown small","Searching in trash can"
19,19,1,"It had brown/grayish fur and it was normal sized","Searching in trash can"
20,20,3,"Grey pretty huge if you ask me with a bushy tail","Roaming around"
21,21,1,"It was a small browinish squirrel","Searching in trash can"
22,22,4,"small and gray","Roaming around"
23,23,1,"chubby","Climbing tree"